Price	Volume
99	733
99	0
99	0
267	798
267	0
267	0
267	0
446	2751
446	0
446	0
446	0
595	2119
595	0
882	332
882	0
882	0
882	0
1319	957
1319	0
1319	0
1319	0
2220	667
2220	0
2220	0
2220	0
4459	406
4459	0
4459	0
4459	0
4873	370
4873	0
4873	0
8107	171
8107	0
8107	0
8107	0
11910	95
11910	0
11910	0
11910	0
14243	82
14243	0
14243	0
14243	0
17019	39
17019	0
17019	0
17019	0
20770	36
20770	0
20770	0
20770	0
25003	24
25003	0
25003	0
25003	0
27649	24
27649	0
27649	0
27649	0
30812	18
30812	0
30812	0
30812	0
34220	12
34220	0
34220	0
34220	0
37904	9
37904	0
37904	0
37904	0
41984	13
41984	0
41984	0
41984	0
46737	11
46737	0
46737	0
46737	0
51937	9
51937	0
51937	0
51937	0
57716	9
57716	0
57716	0
57716	0
64771	8
64771	0
64771	0
64771	0
72104	2
72104	0
72104	0
72104	0
81537	3
81537	0
81537	0
81537	0
81537	0
50583	6
50583	0
50583	0
35974	2
35974	0
35974	0
35974	0
35974	0
5688	4
5688	0
5688	0
5688	0
615	40
615	0
615	0
615	0
60	429
60	0
60	0
60	0
6	2899
6	0
6	0
6	0
1	18279
1	0
1	0
1	0
1	28906
1	25004
1	12442
1	14704
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	34098
1	13436
1	9908
1	14369
1	12844
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	29457
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	29781
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	8572
1	0
1	0
1	0
1	0
1	14129
1	22993
1	16477
1	0
1	0
1	0
1	0
1	20837
1	0
1	0
1	0
1	0
1	0
1	5311
1	29837
1	17228
1	17733
1	0
1	0
1	0
1	4029
1	0
1	4928
1	0
1	0
1	4929
1	0
1	0
1	0
1	0
1	0
1	0
1	4358
1	0
1	5809
1	4055
1	5212
1	3175
1	4926
1	11769
1	3831
1	0
1	24306
1	0
1	0
1	0
1	0
1	7090
1	18154
1	16774
1	2889
1	0
1	8255
1	19343
1	0
1	21973
1	3520
1	0
1	0
1	0
1	0
1	27278
1	0
1	0
1	4946
1	20242
1	0
1	20709
1	0
1	5292
1	0
1	0
1	23651
1	4920
1	13684
1	7030
1	12619
1	7064
1	13939
1	4558
1	14467
1	5091
1	12463
1	5588
1	13633
1	4798
1	8295
1	7983
1	11590
1	5662
1	12723
1	5259
1	12655
1	8272
1	11964
1	7456
1	11261
1	9209
1	9603
1	9051
1	9859
1	6921
1	10900
1	10232
1	10939
1	6169
1	9721
1	9776
1	11006
1	7106
1	9257
1	6067
1	9629
1	10925
1	9404
1	8114
1	8635
1	12173
1	15578
1	7024
1	8994
1	4006
1	10522
1	8220
1	10863
1	7064
1	8538
1	7694
1	10330
1	8658
1	11913
1	9074
1	10358
1	9635
1	11390
1	4812
1	10211
1	9347
1	10143
1	11804
1	10076
1	7653
1	9238
1	8697
1	14038
1	8746
1	8860
1	7884
1	11749
1	10730
1	10669
1	6576
1	9383
1	12774
1	9699
1	12785
1	8125
1	9356
1	9398
1	10640
1	6379
1	9018
1	8499
1	10818
1	9454
1	13171
1	8075
1	10421
1	8358
1	10602
1	8680
1	11167
1	9199
1	10858
1	8872
1	11039
1	6860
1	11258
1	8653
1	11285
1	9345
1	11351
1	9496
1	9427
1	8081
1	9243
1	9615
1	9973
1	10945
1	9529
1	10385
